#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-01 00:00:00Z;9,426625;1;3
2024-06-01 01:00:00Z;9,422126;1;3
2024-06-01 02:00:00Z;9,417751;1;3
2024-06-01 03:00:00Z;9,412126;1;3
2024-06-01 04:00:00Z;9,406626;1;3
2024-06-01 05:00:00Z;9,399377;1;3
2024-06-01 06:00:00Z;9,394251;1;3
2024-06-01 07:00:00Z;9,389877;1;3
2024-06-01 08:00:00Z;9,377263;1;3
2024-06-01 09:00:00Z;9,352898;1;3
2024-06-01 10:00:00Z;9,324909;1;3
2024-06-01 11:00:00Z;9,29116;1;3
2024-06-01 12:00:00Z;9,263273;1;3
2024-06-01 13:00:00Z;9,238395;1;3
2024-06-01 14:00:00Z;9,217136;1;3
2024-06-01 15:00:00Z;9,204753;1;3
2024-06-01 16:00:00Z;9,204751;1;3
2024-06-01 17:00:00Z;9,211127;1;3
2024-06-01 18:00:00Z;9,219754;1;3
2024-06-01 19:00:00Z;9,232255;1;3
2024-06-01 20:00:00Z;9,240752;1;3
2024-06-01 21:00:00Z;9,247753;1;3
2024-06-01 22:00:00Z;9,256752;1;3
2024-06-01 23:00:00Z;9,251506;1;3
2024-06-02 00:00:00Z;9,235634;1;3
2024-06-02 01:00:00Z;9,221882;1;3
2024-06-02 02:00:00Z;9,208381;1;3
2024-06-02 03:00:00Z;9,196506;1;3
2024-06-02 04:00:00Z;9,182009;1;3
2024-06-02 05:00:00Z;9,167008;1;3
2024-06-02 06:00:00Z;9,15313;1;3
2024-06-02 07:00:00Z;9,145378;1;3
2024-06-02 08:00:00Z;9,135379;1;3
2024-06-02 09:00:00Z;9,127127;1;3
2024-06-02 10:00:00Z;9,119877;1;3
2024-06-02 11:00:00Z;9,111007;1;3
2024-06-02 12:00:00Z;9,096134;1;3
2024-06-02 13:00:00Z;9,081258;1;3
2024-06-02 14:00:00Z;9,068007;1;3
2024-06-02 15:00:00Z;9,056253;1;3
2024-06-02 16:00:00Z;9,053501;1;3
2024-06-02 17:00:00Z;9,062007;1;3
2024-06-02 18:00:00Z;9,077886;1;3
2024-06-02 19:00:00Z;9,09552;1;3
2024-06-02 20:00:00Z;9,120017;1;3
2024-06-02 21:00:00Z;9,132002;1;3
2024-06-02 22:00:00Z;9,129377;1;3
2024-06-02 23:00:00Z;9,120754;1;3
2024-06-03 00:00:00Z;9,110378;1;3
2024-06-03 01:00:00Z;9,102502;1;3
2024-06-03 02:00:00Z;9,097876;1;3
2024-06-03 03:00:00Z;9,092752;1;3
2024-06-03 04:00:00Z;9,087626;1;3
2024-06-03 05:00:00Z;9,094387;1;3
2024-06-03 06:00:00Z;9,116899;1;3
2024-06-03 07:00:00Z;9,140141;1;3
2024-06-03 08:00:00Z;9,157132;1;3
2024-06-03 09:00:00Z;9,16838;1;3
2024-06-03 10:00:00Z;9,181382;1;3
2024-06-03 11:00:00Z;9,195254;1;3
2024-06-03 12:00:00Z;9,198376;1;3
2024-06-03 13:00:00Z;9,196;1;3
2024-06-03 14:00:00Z;9,192501;1;3
2024-06-03 15:00:00Z;9,186501;1;3
2024-06-03 16:00:00Z;9,183875;1;3
2024-06-03 17:00:00Z;9,187251;1;3
2024-06-03 18:00:00Z;9,193127;1;3
2024-06-03 19:00:00Z;9,201005;1;3
2024-06-03 20:00:00Z;9,213504;1;3
2024-06-03 21:00:00Z;9,218125;1;3
2024-06-03 22:00:00Z;9,221001;1;3
2024-06-03 23:00:00Z;9,216256;1;3
2024-06-04 00:00:00Z;9,200634;1;3
2024-06-04 01:00:00Z;9,187505;1;3
2024-06-04 02:00:00Z;9,178252;1;3
2024-06-04 03:00:00Z;9,174005;1;3
2024-06-04 04:00:00Z;9,18801;1;3
2024-06-04 05:00:00Z;9,20501;1;3
2024-06-04 06:00:00Z;9,222136;1;3
2024-06-04 07:00:00Z;9,238882;1;3
2024-06-04 08:00:00Z;9,248627;1;3
2024-06-04 09:00:00Z;9,253127;1;3
2024-06-04 10:00:00Z;9,245754;1;3
2024-06-04 11:00:00Z;9,235502;1;3
2024-06-04 12:00:00Z;9,227378;1;3
2024-06-04 13:00:00Z;9,217377;1;3
2024-06-04 14:00:00Z;9,216001;1;3
2024-06-04 15:00:00Z;9,222503;1;3
2024-06-04 16:00:00Z;9,234889;1;3
2024-06-04 17:00:00Z;9,258394;1;3
2024-06-04 18:00:00Z;9,281274;1;3
2024-06-04 19:00:00Z;9,312421;1;3
2024-06-04 20:00:00Z;9,354704;1;3
2024-06-04 21:00:00Z;9,407337;1;3
2024-06-04 22:00:00Z;9,457201;1;3
2024-06-04 23:00:00Z;9,505433;1;3
2024-06-05 00:00:00Z;9,54052;1;3
