#Mestad, 62.17.0, Vannføring, time
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2024-06-01 00:00:00Z;9,454797;0;3
2024-06-01 01:00:00Z;9,047335;0;3
2024-06-01 02:00:00Z;8,632327;0;3
2024-06-01 03:00:00Z;8,151999;0;3
2024-06-01 04:00:00Z;7,710925;0;3
2024-06-01 05:00:00Z;7,307786;0;3
2024-06-01 06:00:00Z;6,864087;0;3
2024-06-01 07:00:00Z;6,505083;0;3
2024-06-01 08:00:00Z;6,112532;0;3
2024-06-01 09:00:00Z;5,836456;0;3
2024-06-01 10:00:00Z;5,592107;0;3
2024-06-01 11:00:00Z;5,372574;0;3
2024-06-01 12:00:00Z;5,285238;0;3
2024-06-01 13:00:00Z;5,340423;0;3
2024-06-01 14:00:00Z;5,664237;0;3
2024-06-01 15:00:00Z;6,189653;0;3
2024-06-01 16:00:00Z;7,002722;0;3
2024-06-01 17:00:00Z;7,894493;0;3
2024-06-01 18:00:00Z;8,835008;0;3
2024-06-01 19:00:00Z;9,595103;0;3
2024-06-01 20:00:00Z;10,22079;0;3
2024-06-01 21:00:00Z;10,52621;0;3
2024-06-01 22:00:00Z;10,50501;0;3
2024-06-01 23:00:00Z;10,28281;0;3
2024-06-02 00:00:00Z;9,85381;0;3
2024-06-02 01:00:00Z;9,34444;0;3
2024-06-02 02:00:00Z;8,788613;0;3
2024-06-02 03:00:00Z;8,236188;0;3
2024-06-02 04:00:00Z;7,705498;0;3
2024-06-02 05:00:00Z;7,247109;0;3
2024-06-02 06:00:00Z;6,789128;0;3
2024-06-02 07:00:00Z;6,360894;0;3
2024-06-02 08:00:00Z;5,998262;0;3
2024-06-02 09:00:00Z;5,663646;0;3
2024-06-02 10:00:00Z;5,363568;0;3
2024-06-02 11:00:00Z;5,127593;0;3
2024-06-02 12:00:00Z;4,893405;0;3
2024-06-02 13:00:00Z;4,734042;0;3
2024-06-02 14:00:00Z;4,695688;0;3
2024-06-02 15:00:00Z;4,828778;0;3
2024-06-02 16:00:00Z;5,227906;0;3
2024-06-02 17:00:00Z;5,825548;0;3
2024-06-02 18:00:00Z;6,627732;0;3
2024-06-02 19:00:00Z;7,354159;0;3
2024-06-02 20:00:00Z;7,955864;0;3
2024-06-02 21:00:00Z;8,265038;0;3
2024-06-02 22:00:00Z;8,319262;0;3
2024-06-02 23:00:00Z;8,162944;0;3
2024-06-03 00:00:00Z;7,902538;0;3
2024-06-03 01:00:00Z;7,555732;0;3
2024-06-03 02:00:00Z;7,251565;0;3
2024-06-03 03:00:00Z;7,04736;0;3
2024-06-03 04:00:00Z;7,074695;0;3
2024-06-03 05:00:00Z;7,341342;0;3
2024-06-03 06:00:00Z;7,84527;0;3
2024-06-03 07:00:00Z;8,43012;0;3
2024-06-03 08:00:00Z;8,95207;0;3
2024-06-03 09:00:00Z;9,298244;0;3
2024-06-03 10:00:00Z;9,493571;0;3
2024-06-03 11:00:00Z;9,45415;0;3
2024-06-03 12:00:00Z;9,460711;0;3
2024-06-03 13:00:00Z;9,414886;0;3
2024-06-03 14:00:00Z;9,408325;0;3
2024-06-03 15:00:00Z;9,513332;0;3
2024-06-03 16:00:00Z;9,719219;0;3
2024-06-03 17:00:00Z;10,09045;0;3
2024-06-03 18:00:00Z;10,25477;0;3
2024-06-03 19:00:00Z;10,35868;0;3
2024-06-03 20:00:00Z;10,22729;0;3
2024-06-03 21:00:00Z;10,14493;0;3
2024-06-03 22:00:00Z;10,09692;0;3
2024-06-03 23:00:00Z;10,32451;0;3
2024-06-04 00:00:00Z;10,68837;0;3
2024-06-04 01:00:00Z;11,07539;0;3
2024-06-04 02:00:00Z;11,65688;0;3
2024-06-04 03:00:00Z;11,90393;0;3
2024-06-04 04:00:00Z;11,88878;0;3
2024-06-04 05:00:00Z;11,6264;0;3
2024-06-04 06:00:00Z;11,0549;0;3
2024-06-04 07:00:00Z;10,3607;0;3
2024-06-04 08:00:00Z;9,766125;0;3
2024-06-04 09:00:00Z;9,665491;0;3
2024-06-04 10:00:00Z;10,13401;0;3
2024-06-04 11:00:00Z;10,80219;0;3
2024-06-04 12:00:00Z;11,00255;0;3
2024-06-04 13:00:00Z;10,88032;0;3
2024-06-04 14:00:00Z;11,22142;0;3
2024-06-04 15:00:00Z;12,21503;0;3
2024-06-04 16:00:00Z;13,41608;0;3
2024-06-04 17:00:00Z;14,08597;0;3
2024-06-04 18:00:00Z;15,32267;0;3
2024-06-04 19:00:00Z;19,85085;0;3
2024-06-04 20:00:00Z;30,98619;0;3
2024-06-04 21:00:00Z;41,85596;0;3
2024-06-04 22:00:00Z;48,00711;0;3
2024-06-04 23:00:00Z;49,65453;0;3
2024-06-05 00:00:00Z;47,57423;0;3
2024-06-05 01:00:00Z;43,01896;0;3
2024-06-05 02:00:00Z;36,84132;0;3
2024-06-05 03:00:00Z;31,43372;0;3
