#Bulken (Vangsvatnet), 62.5.0, Vannføring, time
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2024-06-01 00:00:00Z;146,2648;0;3
2024-06-01 01:00:00Z;145,9655;0;3
2024-06-01 02:00:00Z;145,6465;0;3
2024-06-01 03:00:00Z;145,2683;0;3
2024-06-01 04:00:00Z;144,533;0;3
2024-06-01 05:00:00Z;143,7004;0;3
2024-06-01 06:00:00Z;142,6135;0;3
2024-06-01 07:00:00Z;141,373;0;3
2024-06-01 08:00:00Z;140,079;0;3
2024-06-01 09:00:00Z;138,5567;0;3
2024-06-01 10:00:00Z;137,0033;0;3
2024-06-01 11:00:00Z;135,458;0;3
2024-06-01 12:00:00Z;133,9207;0;3
2024-06-01 13:00:00Z;132,3916;0;3
2024-06-01 14:00:00Z;130,9084;0;3
2024-06-01 15:00:00Z;129,7158;0;3
2024-06-01 16:00:00Z;128,9424;0;3
2024-06-01 17:00:00Z;128,4719;0;3
2024-06-01 18:00:00Z;128,2276;0;3
2024-06-01 19:00:00Z;128,4719;0;3
2024-06-01 20:00:00Z;128,9424;0;3
2024-06-01 21:00:00Z;129,659;0;3
2024-06-01 22:00:00Z;130,4722;0;3
2024-06-01 23:00:00Z;131,5725;0;3
2024-06-02 00:00:00Z;132,3909;0;3
2024-06-02 01:00:00Z;133,1544;0;3
2024-06-02 02:00:00Z;133,8624;0;3
2024-06-02 03:00:00Z;134,1882;0;3
2024-06-02 04:00:00Z;134,2073;0;3
2024-06-02 05:00:00Z;134,0539;0;3
2024-06-02 06:00:00Z;133,6709;0;3
2024-06-02 07:00:00Z;132,7153;0;3
2024-06-02 08:00:00Z;131,7816;0;3
2024-06-02 09:00:00Z;130,8322;0;3
2024-06-02 10:00:00Z;129,6782;0;3
2024-06-02 11:00:00Z;128,604;0;3
2024-06-02 12:00:00Z;127,5154;0;3
2024-06-02 13:00:00Z;126,1887;0;3
2024-06-02 14:00:00Z;124,7568;0;3
2024-06-02 15:00:00Z;123,5537;0;3
2024-06-02 16:00:00Z;122,485;0;3
2024-06-02 17:00:00Z;121,4204;0;3
2024-06-02 18:00:00Z;120,9444;0;3
2024-06-02 19:00:00Z;120,9444;0;3
2024-06-02 20:00:00Z;121,2553;0;3
2024-06-02 21:00:00Z;121,2187;0;3
2024-06-02 22:00:00Z;121,3835;0;3
2024-06-02 23:00:00Z;121,8784;0;3
2024-06-03 00:00:00Z;122,2825;0;3
2024-06-03 01:00:00Z;123,0185;0;3
2024-06-03 02:00:00Z;123,3871;0;3
2024-06-03 03:00:00Z;123,6455;0;3
2024-06-03 04:00:00Z;123,664;0;3
2024-06-03 05:00:00Z;123,5347;0;3
2024-06-03 06:00:00Z;123,3686;0;3
2024-06-03 07:00:00Z;123,092;0;3
2024-06-03 08:00:00Z;122,8341;0;3
2024-06-03 09:00:00Z;122,7421;0;3
2024-06-03 10:00:00Z;122,3926;0;3
2024-06-03 11:00:00Z;122,1538;0;3
2024-06-03 12:00:00Z;121,695;0;3
2024-06-03 13:00:00Z;121,585;0;3
2024-06-03 14:00:00Z;121,3286;0;3
2024-06-03 15:00:00Z;121,0906;0;3
2024-06-03 16:00:00Z;121,1638;0;3
2024-06-03 17:00:00Z;121,3104;0;3
2024-06-03 18:00:00Z;122,1724;0;3
2024-06-03 19:00:00Z;122,9264;0;3
2024-06-03 20:00:00Z;123,5719;0;3
2024-06-03 21:00:00Z;124,3855;0;3
2024-06-03 22:00:00Z;125,0531;0;3
2024-06-03 23:00:00Z;125,8526;0;3
2024-06-04 00:00:00Z;126,4118;0;3
2024-06-04 01:00:00Z;127,1779;0;3
2024-06-04 02:00:00Z;127,5335;0;3
2024-06-04 03:00:00Z;127,7021;0;3
2024-06-04 04:00:00Z;127,7959;0;3
2024-06-04 05:00:00Z;127,5709;0;3
2024-06-04 06:00:00Z;127,2902;0;3
2024-06-04 07:00:00Z;126,4119;0;3
2024-06-04 08:00:00Z;125,7409;0;3
2024-06-04 09:00:00Z;125,0345;0;3
2024-06-04 10:00:00Z;124,3855;0;3
2024-06-04 11:00:00Z;123,5351;0;3
2024-06-04 12:00:00Z;122,6504;0;3
2024-06-04 13:00:00Z;121,7687;0;3
2024-06-04 14:00:00Z;120,8716;0;3
2024-06-04 15:00:00Z;120,1051;0;3
2024-06-04 16:00:00Z;120,762;0;3
2024-06-04 17:00:00Z;121,7136;0;3
2024-06-04 18:00:00Z;122,5592;0;3
2024-06-04 19:00:00Z;124,6664;0;3
2024-06-04 20:00:00Z;127,5942;0;3
2024-06-04 21:00:00Z;130,9514;0;3
2024-06-04 22:00:00Z;134,8674;0;3
2024-06-04 23:00:00Z;139,0505;0;3
2024-06-05 00:00:00Z;143,4309;0;3
